product_id;product_name;discounted_price;actual_price;discount_percentage;rating;rating_count;main_category;sub_category;product_type;savings;price_range;rating_category;review_count;sentiment_mean;pct_positif;pct_negatif;sentiment_label
B0BC8BQ432;VU 164 cm (65 inches) The GloLED Series 4K Smart LED Google TV 65GloLED (Grey);54990;85000;35;4,3;3587;Electronics;HomeTheater,TV&Video;SmartTelevisions;30010;Luxe >10000;Bon;4;0,25217;80;10;Positif
B06XFTHCNY;CableCreation RCA to 3.5mm Male Audio Cable, 3.5mm to 2RCA Cable Male RCA Cable,Y Splitter Stereo Jack Cable for Home Theater,Subwoofer, Receiver, Speakers and More (3Feet/0.9Meter,Black);439;758;42;4,2;4296;Electronics;HomeTheater,TV&Video;RCACables;319;Budget <500;Bon;8;0,560575;100;0;Positif
B08CT62BM1;Wayona USB Type C Fast Charging Cable Charger Cord 3A QC 3.0 Data Cable Compatible with Samsung Galaxy S10e S10 S9 S8 S20 Plus, Note 10 9 8, M51 A40 A50 A70, Moto G7 G8 (1M, Grey);299;999;70;4,3;2651;Computers&Accessories;Accessories&Peripherals;USBCables;700;Budget <500;Bon;8;0,397655556;88,9;0;Positif
B07CRL2GY6;boAt Rugged V3 Braided Micro USB Cable (Pearl White);299;799;63;4,2;94363;Computers&Accessories;Accessories&Peripherals;USBCables;500;Budget <500;Bon;8;0,42381;90;0;Positif
B07DWFX9YS;Amazon Basics USB A to Lightning PVC Molded Nylon MFi Certified Charging Cable (Black, 1.2 meter);789;1999;61;4,2;34540;Computers&Accessories;Accessories&Peripherals;USBCables;1210;Mid-range 500-2000;Bon;8;0,36667;70;10;Positif
B01D5H90L4;AmazonBasics - High-Speed Male to Female HDMI Extension Cable - 6 Feet;299;700;57;4,4;8714;Electronics;HomeTheater,TV&Video;HDMICables;401;Budget <500;Bon;8;0,370733333;86,7;0;Positif
B07F1P8KNV;Wayona Nylon Braided Usb Type C 3Ft 1M 3A Fast Charger Cable For Samsung Galaxy S9 S8 (Wc3Cb1, Black);325;1099;70;4,2;10576;Computers&Accessories;Accessories&Peripherals;USBCables;774;Budget <500;Bon;8;0,324114286;78,6;0;Positif
B084N1BM9L;Belkin Apple Certified Lightning to USB Charge and Sync Tough Braided Cable for iPhone, iPad, Air Pods, 3.3 feet (1 meters) – Black;1299;1999;35;4,4;7318;Computers&Accessories;Accessories&Peripherals;USBCables;700;Mid-range 500-2000;Bon;8;0,29452;60;0;Positif
B09F6D21BY;7SEVEN Compatible LG TV Remote Suitable for LG Non Magic Smart tv Remote Control (Mouse & Voice Non-Support) MR20GA Prime Video and Netflix Hotkeys;790;1999;60;3;103;Electronics;HomeTheater,TV&Video;RemoteControls;1209;Mid-range 500-2000;Faible;8;0,25216;50;10;Positif
B09LQQYNZQ;Realme Smart TV Stick 4K;4699;4699;0;4,5;224;Electronics;HomeAudio;StreamingClients;0;Premium 2000-10000;Excellent;4;0,060433333;38,9;44,4;Positif
B0BC9BW512;Acer 100 cm (40 inches) P Series Full HD Android Smart LED TV AR40AR2841FDFL (Black);18999;24990;24;4,3;4702;Electronics;HomeTheater,TV&Video;SmartTelevisions;5991;Luxe >10000;Bon;8;0,25014;62,5;5;Positif
B0B61HYR92;Lapster usb 2.0 mantra cable, mantra mfs 100 data cable (black);199;999;80;4,2;85;Computers&Accessories;Accessories&Peripherals;USBCables;800;Budget <500;Bon;8;0,562333333;100;0;Positif
B075ZTJ9XR;AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black);269;650;59;4,4;35877;Electronics;HomeTheater,TV&Video;HDMICables;381;Budget <500;Bon;8;0,34725625;50;0;Positif
